¿En qué año ganó Messi su primer Balón de Oro?, 2009, 2010, 2011, 2008, 2009,
¿Con qué equipo debutó Messi profesionalmente?, Newell's Old Boys, PSG, Barcelona, Argentina Sub-20, Barcelona,
¿Cuántas veces ha ganado Messi el Balón de Oro hasta 2023?, 6, 7, 8, 5, 8,
¿Cuál es el apodo de Messi?, El Dibu, La Pulga, El Fenómeno, El Bicho, La Pulga,
¿Qué dorsal usó Messi al debutar en el Barcelona?, 10, 19, 30, 7, 30,
¿En qué año ganó Messi la Copa del Mundo?, 2014, 2018, 2022, 2006, 2022,
¿Contra qué equipo marcó Messi su primer gol con el Barcelona?, Espanyol, Sevilla, Albacete, Valencia, Albacete,
¿Cuántos goles anotó Messi con el Barcelona?, 672, 680, 700, 650, 672,
¿De qué ciudad es originario Messi?, Buenos Aires, Rosario, Córdoba, Santa Fe, Rosario,
¿En qué año debutó Messi con la selección argentina?, 2005, 2006, 2007, 2004, 2005,
¿En qué año ganó Dibu Martínez la Copa América?, 2021, 2019, 2020, 2022, 2021,
¿Qué posición juega Dibu Martínez?, Portero, Defensa, Mediocampista, Delantero, Portero,
¿Con qué equipo de la Premier League jugó en 2023?, Arsenal, Chelsea, Aston Villa, Manchester United, Aston Villa,
¿En qué ciudad nació Dibu Martínez?, Buenos Aires, Rosario, Córdoba, Mar del Plata, Mar del Plata,
¿En qué año debutó Dibu con la selección argentina?, 2011, 2020, 2015, 2021, 2021,
¿Qué título ganó Dibu en 2022?, Copa América, Confederaciones, Copa Mundial, Eurocopa, Copa Mundial,
¿Cuántos penales atajó Dibu en la final de Qatar 2022?, 2, 3, 1, 4, 1,
¿Qué dorsal usa Dibu Martínez en la selección argentina?, 23, 1, 12, 22, 23,
¿Qué premio ganó Dibu en el Mundial 2022?, Guante de Oro, Balón de Oro, Mejor Jugador Joven, Bota de Oro, Guante de Oro,
¿En qué club europeo debutó Dibu Martínez?, Aston Villa, Arsenal, Manchester City, Chelsea, Arsenal,
¿Con qué equipo debutó Neymar profesionalmente?, Barcelona, PSG, Santos, Real Madrid, Santos,
¿En qué año se unió Neymar al Barcelona?, 2013, 2014, 2012, 2015, 2013,
¿Qué dorsal usa Neymar en el PSG?, 11, 10, 7, 9, 10,
¿Cuántos goles anotó Neymar en los JJ.OO. 2016?, 3, 4, 5, 6, 4,
¿En qué ciudad nació Neymar?, Río de Janeiro, Mogi das Cruzes, Sao Paulo, Brasilia, Mogi das Cruzes,
¿Qué título ganó Neymar con Brasil en 2019?, Copa América, Confederaciones, Oro Olímpico, Mundial, Copa América,
¿En qué año debutó Neymar con la selección brasileña?, 2010, 2009, 2011, 2008, 2010,
¿Cuántos Balones de Oro ha ganado Neymar?, 1, 2, 3, 0, 0,
¿Cuál es el apodo de Neymar?, Ney, El Fenómeno, El Bicho, Neymágico, Ney,
¿Cuántos goles anotó Neymar con el Santos?, 100, 136, 150, 128, 136,
¿En qué año ganó Mbappé su primer Mundial?, 2018, 2022, 2014, 2010, 2018,
¿Con qué equipo debutó Mbappé profesionalmente?, Monaco, PSG, Lyon, Marsella, Monaco,
¿Qué dorsal usa Mbappé en el PSG?, 10, 9, 7, 11, 7,
¿Cuántos goles anotó Mbappé en el Mundial 2022?, 6, 7, 5, 8, 8,
¿En qué ciudad nació Mbappé?, Bondy, París, Marsella, Lyon, Bondy,
¿Cuántas Champions League ha ganado Mbappé?, 1, 0, 2, 3, 0,
¿En qué año debutó Mbappé con la selección francesa?, 2017, 2016, 2018, 2015, 2017,
¿Qué premio ganó Mbappé en el Mundial 2018?, Bota de Oro, Balón de Oro, Mejor Jugador Joven, Guante de Oro, Mejor Jugador Joven,
¿Cuántos goles marcó Mbappé en la final de Qatar 2022?, 2, 3, 1, 4, 3,
¿Qué club fichó a Mbappé en 2017?, Real Madrid, PSG, Barcelona, Monaco, PSG,
¿En qué año ganó Cristiano Ronaldo su primer Balón de Oro?, 2009, 2010, 2008, 2007, 2008,
¿Con qué equipo debutó Cristiano profesionalmente?, Manchester United, Sporting CP, Real Madrid, Juventus, Sporting CP,
¿Cuántos goles anotó Cristiano con el Real Madrid?, 500, 400, 450, 425, 450,
¿Qué dorsal usó Cristiano en el Manchester United inicialmente?, 7, 9, 17, 28, 7,
¿En qué año ganó Cristiano la Eurocopa?, 2020, 2012, 2008, 2016, 2016,
¿En qué ciudad nació Cristiano Ronaldo?, Lisboa, Funchal, Porto, Coímbra, Funchal,
¿Cuántas Champions League ha ganado Cristiano Ronaldo?, 4, 6, 5, 3, 5,
¿En qué año debutó Cristiano con la selección portuguesa?, 2003, 2004, 2005, 2002, 2003,
¿Qué equipo fichó a Cristiano en 2018?, Juventus, Real Madrid, Manchester United, Al Nassr, Juventus,
¿Qué dorsal usó Cristiano en el Real Madrid?, 9, 10, 11, 7, 7,
¿En qué año ganó Maradona la Copa del Mundo?, 1990, 1986, 1982, 1978, 1986,
¿Con qué equipo debutó Maradona profesionalmente?, Argentinos Juniors, Boca Juniors, Barcelona, Napoli, Argentinos Juniors,
¿Qué dorsal usó Maradona en el Napoli?, 7, 9, 11, 10, 10,
¿En qué ciudad nació Maradona?, Lanús, Ciudadela, Villa Fiorito, Rosario, Villa Fiorito,
¿En qué año debutó Maradona con la selección argentina?, 1977, 1978, 1979, 1980, 1977,
¿Cuántos goles anotó Maradona en la Copa del Mundo 1986?, 5, 6, 4, 7, 5,
¿En qué año ganó Maradona su primer título con Boca Juniors?, 1982, 1980, 1983, 1981, 1981,
¿Qué apodo tenía Maradona?, El Diego, La Pulga, El Pelusa, El Pibe de Oro, El Pibe de Oro,
¿Que titulo gano Maradona con Napoli en 1987? , Serie A, Copa Italia, Supercopa Italia, Copa de Europa, Serie A,
¿En que año debutó Maradona en la Copa del Mundo?, 1986, 1982, 1978, 1990, 1982,
